phase,interface,channels,num_channels,ceiling_hz,sps,kbps,eos_overruns,dio_drops,enc_drops,enc_fails,timer_isr,total_samples,queue_drops,invariant_delta,leaked,duration_s
endurance,USB CSV,5×T1 OBD=ON,5,13000,12432,1023,0,0,0,0,746018,746018,0,0,False,60
endurance,USB CSV,1×T1 OBD=OFF,1,20000,19428,332,0,0,0,0,1165735,1165735,0,0,False,60
endurance,USB CSV,1×T1 OBD=ON,1,19000,18414,298,0,0,0,0,1104961,1104961,0,0,False,60
endurance,USB CSV,8×T2,8,10000,9711,1332,0,0,0,0,582677,582677,0,0,False,60
endurance,USB CSV,11×T2,11,9000,8533,1578,0,0,0,0,512058,512058,0,0,False,60
endurance,USB CSV,5T1+3T2,8,10000,9707,1336,0,0,0,0,582435,582435,0,0,False,60
endurance,USB CSV,5T1+5T2,10,9000,8734,1479,0,0,0,0,524056,524056,0,0,False,60
endurance,USB CSV,5T1+11T2,16,7000,6681,1776,0,0,0,0,400910,400910,0,0,False,60
endurance,SD PB,1×T1,1,11000,0,0,0,0,1,1,645238,645238,0,0,True,60
endurance,SD PB,1×T2,1,11000,0,0,0,0,0,0,645656,645656,0,0,True,60
endurance,SD PB,3×T1,3,8000,0,0,0,0,0,0,469071,469071,0,0,False,60
endurance,SD PB,3×T2,3,8000,0,0,0,0,0,0,469935,469935,0,0,False,60
endurance,SD PB,5×T1,5,7000,0,0,0,0,0,0,410839,410839,0,0,False,60
endurance,SD PB,5×T2,5,7000,0,0,0,0,0,0,410881,410881,0,0,False,60
endurance,SD PB,5×T1 OBD=OFF,5,8000,0,0,0,0,0,0,469766,469766,0,0,False,60
endurance,SD PB,5×T1 OBD=ON,5,7000,0,0,0,0,0,0,410538,410538,0,0,False,60
endurance,SD PB,1×T1 OBD=OFF,1,12000,0,0,0,0,0,0,703547,703547,0,0,False,60
endurance,SD PB,1×T1 OBD=ON,1,11000,0,0,0,0,1,1,645327,645327,0,0,False,60
endurance,SD PB,8×T2,8,6000,0,0,0,0,0,0,352150,352150,0,0,False,60
endurance,SD PB,11×T2,11,5000,0,0,0,0,0,0,293487,293487,0,0,False,60
endurance,SD PB,5T1+3T2,8,6000,0,0,0,0,0,0,352121,352121,0,0,False,60
endurance,SD PB,5T1+5T2,10,5000,0,0,0,0,0,0,293507,293507,0,0,True,60
endurance,SD PB,5T1+11T2,16,4000,0,0,0,0,0,0,234698,234698,0,0,False,60
endurance,SD CSV,1×T1,1,9000,0,0,0,0,1,1,527796,527796,0,0,False,60
endurance,SD CSV,1×T2,1,9000,0,0,0,0,0,0,527878,527878,0,0,False,60
endurance,SD CSV,3×T1,3,5000,0,0,0,0,0,0,293512,293512,0,0,False,60
endurance,SD CSV,3×T2,3,5000,0,0,0,0,1,1,293512,293512,0,0,True,60
endurance,SD CSV,5×T1,5,2000,0,0,0,0,0,0,117274,117274,0,0,False,60
endurance,SD CSV,5×T2,5,4000,0,0,0,0,0,0,234574,234574,0,0,False,60
endurance,SD CSV,5×T1 OBD=OFF,5,4000,0,0,0,0,0,0,234761,234761,0,0,True,60
endurance,SD CSV,5×T1 OBD=ON,5,4000,0,0,0,0,0,0,234670,234670,0,0,False,60
endurance,SD CSV,1×T1 OBD=OFF,1,10000,0,0,0,0,0,0,586556,586556,0,0,False,60
endurance,SD CSV,1×T1 OBD=ON,1,9000,0,0,0,0,1,1,528589,528589,0,0,False,60
endurance,SD CSV,8×T2,8,1000,0,0,0,0,0,0,58693,58693,0,0,False,60
endurance,SD CSV,11×T2,11,2000,0,0,0,0,0,0,117472,117472,0,0,False,60
endurance,SD CSV,5T1+3T2,8,3000,0,0,0,0,0,0,176102,176102,0,0,False,60
endurance,SD CSV,5T1+5T2,10,2000,0,0,0,0,0,0,117446,117446,0,0,False,60
endurance,SD CSV,5T1+11T2,16,1000,0,0,0,0,0,0,58684,58684,0,0,False,60
